Client: Synchrony
"Program: Synchrony CCB2B - HIA incremental 8_2026 (ID: 132959)"

Company,Category,Topic,ML Insights Score
Baton Rouge General Medical Center(brgeneral.org),transactions & payments,payment solutions,83
Baton Rouge General Medical Center(brgeneral.org),administration,patient payments,81
Baton Rouge General Medical Center(brgeneral.org),financial,afterpay,98
Bayles Stephen Md(vmmc.org),financial,wells fargo (wfc),62
Bayles Stephen Md(vmmc.org),administration,patient payments,97
Baylor Scott & White Health Plan(swhp.org),transactions & payments,payment plan,65
Baylor Scott & White Health Plan(swhp.org),financial,paypal pay in 4,70
Baylor Scott & White Health Plan(swhp.org),administration,patient payments,97
Baylor Scott & White Health(bswhealth.com),administration,medical billing,94
Baystate Health(baystatehealth.org),transactions & payments,payment solutions,67
Baystate Health(baystatehealth.org),financial,sezzle,62
Baystate Health(baystatehealth.org),administration,patient payments,75
Baystate Health(baystatehealth.org),administration,medical billing,91
Baystate Health(baystatehealth.org),financial,paypal pay later,62
Baystate Health(baystatehealth.org),financial,afterpay,79
Beachbody(beachbody.com),financial,klarna,93
Beachbody(beachbody.com),administration,patient payments,91
Beachbody(beachbody.com),financial,paypal credit,92
Beachbody(beachbody.com),administration,medical billing,91
Beachbody(beachbody.com),financial,wells fargo (wfc),62
Beachbody(beachbody.com),financial,afterpay,91
Beacon Health Options(beaconhealthoptions.com),financial,paypal pay in 4,62
Beacon Health Options(beaconhealthoptions.com),administration,patient payments,72
Beacon Health Options(beaconhealthoptions.com),administration,medical billing,85
Beacon Health Options(beaconhealthoptions.com),personal finance,debt relief,65
Beacon Health System(beaconhealthsystem.org),administration,patient payments,98
Beacon Health System(beaconhealthsystem.org),personal finance,debt relief,70
Beacon Health System(beaconhealthsystem.org),administration,medical billing,67
Beacon Health System(beaconhealthsystem.org),financial,afterpay,70
Beaumont Health(beaumont.org),financial,paypal credit,96
Beaumont Hospitals Weight(beaumonthospitals.com),administration,patient payments,62
Beebe Healthcare(bbmc.org),administration,patient payments,72
Beebe Healthcare(bbmc.org),financial,zippay,79
Beebe Healthcare(bbmc.org),administration,medical billing,95
Beebe Healthcare(bbmc.org),financial,paypal pay in 4,65
Beebe Healthcare(bbmc.org),financial,afterpay,62
Beebe Healthcare(beebehealthcare.org),administration,medical billing,94
Beebe Healthcare(beebehealthcare.org),financial,wells fargo (wfc),77
"Behavioral Health Network, Inc (Bhn)(bhninc.org)",administration,patient payments,77
Bellin Health(bellin.org),financial,paypal credit,94
Bellin Health(bellin.org),financial,zippay,98
Bellin Health(bellin.org),administration,medical billing,94
Bellin Health(bellin.org),administration,patient payments,81
Belmont Village Senior Living(belmontvillage.com),personal finance,debt relief,77
Belmont Village Senior Living(belmontvillage.com),transactions & payments,payment solutions,72
Beloit Memorial Hospital(beloitmemorialhospital.org),financial,paypal (pypl),81
Beloit Memorial Hospital(beloitmemorialhospital.org),financial,paypal pay in 4,65
Billings Clinic Regionalcare Llc(billingsclinicregionalcare.com),personal finance,debt relief,85
Billings Clinic Regionalcare Llc(billingsclinicregionalcare.com),accounting,credit Management,92
"Bioscrip, Inc.(bioscrip.com)",personal finance,debt relief,77
"Bioscrip, Inc.(bioscrip.com)",financial,paypal pay later,67
"Bioscrip, Inc.(bioscrip.com)",administration,patient payments,75
Bishop Gadsden Episcopal Retirement Community(bishopgadsden.org),administration,patient payments,85
Black Hills Surgical Hospital(bhsh.com),personal finance,debt relief,72
"Blackboard, Inc.(ucsfmedctr.org)",financial,paypal pay in 4,79
"Blackboard, Inc.(ucsfmedctr.org)",administration,patient payments,97
"Blackboard, Inc.(ucsfmedctr.org)",personal finance,debt relief,65
Blessing Health(blessinghospital.com),financial,paypal pay in 4,72
Blinkrx(blinkhealth.com),personal finance,debt relief,72
Bloodworks Northwest(bloodworksnw.org),financial,paypal (pypl),72
Bloodworks Northwest(bloodworksnw.org),financial,paypal pay in 4,83
Blount Memorial Hospital(blountmemorial.org),financial,paypal (pypl),98
Blount Memorial Hospital(blountmemorial.org),administration,patient payments,70
"Blue Cross And Blue Shield Of Massachusetts, Inc.(bcbsma.com)",administration,medical billing,98
"Blue Cross And Blue Shield Of Massachusetts, Inc.(bcbsma.com)",personal finance,debt relief,75
"Blue Cross And Blue Shield Of Massachusetts, Inc.(bcbsma.com)",financial,afterpay,86
"Blue Cross And Blue Shield Of Massachusetts, Inc.(bcbsma.com)",financial,wells fargo (wfc),70
"Blue Cross And Blue Shield Of Massachusetts, Inc.(bcbsma.com)",financial,paypal pay in 4,70
"Blue Cross And Blue Shield Of Massachusetts, Inc.(bcbsma.com)",administration,patient payments,90
Blue Cross Blue Shield Of Massachusetts(bluecrossma.com),financial,wells fargo (wfc),90
Blue Cross Blue Shield Of Massachusetts(bluecrossma.com),administration,patient payments,70
Blue Cross Blue Shield Of Massachusetts(bluecrossma.com),financial,afterpay,77
Blue Mountain Health System(blmtn.org),financial,wells fargo (wfc),85
Bluebonnet Trails Community Services(bbtrails.org),administration,patient payments,72
"Bluechoice Healthplan Of South Carolina, Inc.(bluechoicesc.com)",financial,paypal (pypl),81
Bluecross Blueshield Of Tennessee(bcbst.com),administration,medical billing,81
Bluecross Blueshield Of Tennessee(bcbst.com),financial,Affirm,98
Bluecross Blueshield Of Tennessee(bcbst.com),financial,paypal credit,95
Bluecross Blueshield Of Tennessee(bcbst.com),financial,affirm,98
Bluesprig(bluesprigautism.com),financial,paypal pay in 4,62
Bon Secours Health System(bshsi.com),personal finance,debt relief,67
Bonaventure Senior Living(bonaventuresenior.com),financial,paypal pay in 4,62
Bonaventure Senior Living(bonaventuresenior.com),personal finance,debt relief,83
Bonaventure Senior Living(bonaventuresenior.com),administration,medical billing,86
Boone Health(boone.org),financial,wells fargo (wfc),98
Boone Health(boone.org),financial,paypal pay in 4,86
Boone Health(boone.org),financial,klarna,97
Borgess Health(borgess.com),administration,medical billing,92
Boston Children's Hospital(childrenshospital.org),administration,patient payments,72
Boston Children's Hospital(childrenshospital.org),financial,zippay,92
Boston Children's Hospital(childrenshospital.org),administration,medical billing,83
Boston Medical Center (Bmc)(bmc.org),financial,Affirm,77
Boston Medical Center (Bmc)(bmc.org),financial,zippay,75
Boston Medical Center (Bmc)(bmc.org),financial,affirm,77
Boston Medical Center (Bmc)(bmc.org),administration,medical billing,83
Boston Medical Center (Bmc)(bmc.org),administration,patient payments,81
Bowlin Eugene F Jr Dds(internetcds.com),financial,paypal (pypl),81
Bowlin Eugene F Jr Dds(internetcds.com),financial,paypal pay in 4,65
Box Butte General Hospital(bbgh.org),personal finance,debt relief,81
Boys Town(boystown.org),transactions & payments,payment solutions,96
Boys Town(boystown.org),administration,medical billing,98
Boys Town(boystown.org),financial,wells fargo (wfc),70
Boys Town(boystown.org),financial,paypal (pypl),77
Bradford Health Services(bradfordhealth.com),personal finance,debt relief,96
Brentwood Health Care Ctr(gwis.com),financial,paypal (pypl),92
Brentwood Health Care Ctr(gwis.com),personal finance,debt relief,90
Broadcastmed (Now Conexiant)(broadcastmed.com),financial,wells fargo (wfc),72
Broadcastmed (Now Conexiant)(broadcastmed.com),financial,paypal (pypl),77
Bronson Healthcare(bronsonhealth.com),administration,medical billing,83
Bronson Healthcare(bronsonhealth.com),financial,afterpay,99
Bronson Healthcare(bronsonhealth.com),administration,patient payments,83
Bronson Healthcare(bronsonhealth.com),financial,paypal credit,83
Bronson Healthcare(bronsonhealth.com),financial,paypal (pypl),67
Bronx Lebanon Hospital Center Inc(bronx-leb.org),financial,wells fargo (wfc),79
Bronxcare Health System(bronxcare.org),administration,medical billing,75
Brookdale University Hospital And Medical Center(brookdalehospital.org),financial,klarna,79
Brookdale University Hospital And Medical Center(brookdalehospital.org),administration,medical billing,81
Brooks Rehabilitation(brooksrehab.org),administration,patient payments,86
"Brookshire Brothers, Inc.(brookshirebrothers.com)",financial,paypal (pypl),70
Broward Health(browardhealth.org),financial,paypal pay in 4,70
Broward Health(browardhealth.org),financial,wells fargo (wfc),70
Broward Health(browardhealth.org),administration,medical billing,91
Broward Health(browardhealth.org),transactions & payments,payment solutions,81
Bsa Health System(bsahs.org),financial,afterpay,96
Buffalo Medical Group(buffalomedicalgroup.com),financial,paypal (pypl),81
Buffalo Medical Group(buffalomedicalgroup.com),administration,medical billing,70
Bussart West & Tyler P.C.(sweetwater.net),personal finance,debt relief,85
By Design Nail Salon(rivnet.net),financial,wells fargo (wfc),65
CHVALA LAW OFFICES(terracom.net),financial,paypal (pypl),67
CLIFTON SPRINGS HOSPITAL & CLINIC(cliftonspringshospital.com),personal finance,debt relief,81
CLIFTON SPRINGS HOSPITAL & CLINIC(cliftonspringshospital.com),administration,medical billing,98
CROSSWALK(christianemail.com),personal finance,debt relief,95
Cactus Salon & Day Spa(cactussalon.com),financial,wells fargo (wfc),62
Caloptima(caloptima.org),financial,paypal pay in 4,86
Caloptima(caloptima.org),financial,paypal pay later,92
Caloptima(caloptima.org),financial,wells fargo (wfc),67
Caloptima(caloptima.org),administration,patient payments,92
Cambridge Health Alliance(challiance.org),financial,afterpay,88
Cambridge Health Alliance(challiance.org),administration,medical billing,95
Cambridge Health Alliance(challiance.org),administration,patient payments,75
Campbell Clinic Orthopaedics(campbellclinic.com),administration,patient payments,83
Campbell Clinic Orthopaedics(campbellclinic.com),financial,klarna,67
Cancer Support Community(cancersupportcommunity.org),administration,patient payments,100
Cancer Treatment Centers of America Inc.(ctca-hope.com),financial,afterpay,62
Cantex(cantexcc.com),personal finance,debt relief,83
Cape Fear Valley Health(capefearvalley.com),financial,paypal credit,62
Cape Fear Valley Health(capefearvalley.com),transactions & payments,payment solutions,79
Cape Fear Valley Health(capefearvalley.com),administration,medical billing,99
Cape Fear Valley Health(capefearvalley.com),administration,patient payments,72
Cape Fear Valley Health(capefearvalley.com),personal finance,debt relief,72
Capella Healthcare(capellahealth.com),financial,wells fargo (wfc),67
Caravel Autism Health(caravelautism.com),personal finance,debt relief,62
Caravel Autism Health(caravelautism.com),administration,patient payments,70
Cardiovascular Institute Of The South(cardio.com),financial,paypal pay in 4,90
Cardiovascular Institute Of The South(cardio.com),personal finance,debt relief,72
"Care Advantage, Inc.(careadvantageinc.com)",financial,paypal (pypl),70
Carecentrix(carecentrix.com),financial,afterpay,92
Caregivers America(caregiversamerica.com),financial,paypal pay in 4,70
Caregivers America(caregiversamerica.com),administration,patient payments,86
Caregivers America(caregiversamerica.com),financial,paypal pay later,83
Carehere Llc(carehere.com),financial,wells fargo (wfc),79
Carelink Health Partners Inc(health-partners.org),administration,medical billing,90
Carelink Health Partners Inc(health-partners.org),financial,afterpay,67
Carelink Health Partners Inc(health-partners.org),financial,wells fargo (wfc),75
Carelink Health Partners Inc(health-partners.org),administration,patient payments,65
Caremount Medical(caremountmedical.com),financial,paypal (pypl),62
Caremount Medical(caremountmedical.com),financial,paypal pay in 4,83
Carepoint Health System(carepointhealth.org),administration,medical billing,88
Carepoint Health System(carepointhealth.org),accounting,credit Management,94
Carepoint Health System(carepointhealth.org),transactions & payments,payment solutions,75
Carerite Centers(careritecenters.com),administration,patient payments,79
Carestar(carestar.com),administration,medical billing,88
Carilion Clinic(carilionclinic.org),administration,patient payments,81
Carilion Clinic(carilionclinic.org),transactions & payments,payment solutions,65
Carilion Clinic(carilionclinic.org),administration,medical billing,72
Carilion Franklin Memorial(carilion.com),financial,wells fargo (wfc),62
Carilion Franklin Memorial(carilion.com),administration,patient payments,100
Carilion Franklin Memorial(carilion.com),administration,medical billing,94
Caring Hospice Services(caringhospice.com),financial,paypal (pypl),62
Caris Healthcare(carishealthcare.com),financial,paypal pay in 4,62
Carolinaeast Medical Center(carolinaeastmedicalcenter.com),financial,paypal (pypl),93
Carolinas Hospital System(carolinashospital.com),financial,klarna,70
Carolinas Hospital System(carolinashospital.com),personal finance,debt relief,94
Caromont Health(caromonthealth.org),financial,paypal pay in 4,67
Caromont Health(caromonthealth.org),administration,medical billing,98
Caromont Health(caromonthealth.org),administration,patient payments,65
Caromont Health(caromonthealth.org),financial,paypal pay later,67
Carti(carti.com),administration,patient payments,86
Carti(carti.com),financial,wells fargo (wfc),88
Carti(carti.com),transactions & payments,payment plan,77
Cascade Health(cascadehealth.org),financial,paypal (pypl),79
Cascade Health(cascadehealth.org),administration,patient payments,97
Cascadia Healthcare(cascadiahc.com),financial,paypal (pypl),72
Cassena Care(cassenacare.com),personal finance,debt relief,77
Cassena Care(cassenacare.com),financial,paypal (pypl),83
